Title,Price
Apple iPhone 15 (128 GB) - Black,"58,499"
"iPhone 16 128 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Teal","74,900"
Apple iPhone 15 (128 GB) - Black,"58,499"
Apple iPhone 15 (128 GB) - Blue,"58,999"
Apple iPhone 15 (128 GB) - Pink,"58,499"
Apple iPhone 13 (512GB) - Starlight,"73,999"
Apple iPhone 13 (128GB) - Midnight,N/A
Apple iPhone 15 (128 GB) - Green,N/A
Apple iPhone 13 (256GB) - Blue,"54,999"
Apple iPhone 13 (128GB) - Green,"43,499"
Apple iPhone 15 (256 GB) - Black,"68,999"
Apple iPhone 15 (128 GB) - Blue,"58,999"
Apple iPhone 15 (256 GB) - Pink,"68,999"
Apple iPhone 15 (256 GB) - Green,"68,999"
Apple iPhone 13 (128GB) - (Product) RED,"43,499"
Apple iPhone 14 (128 GB) - Blue,"54,900"
Apple iPhone 14 (128 GB) - Midnight,"54,900"
"iPhone 16 256 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Black","84,900"
